tau_object_name,tau_object_kind,input_object,input_object_definition_status,tau_method,tau_event_or_feature_definition,fit_model_or_threshold_rule,time_axis,units,grain,producer_script,source_artifact,downstream_use,definition_status,ambiguity_risk,notes
Dip_depth_vs_tw_curve,tau_input,Dip_depth,EXPLICIT,CURVEFIT_DIP_FAMILY,memory curve collapse per Tp,multiple logistic stretched half_range consensus helpers,tw seconds wait time,arbitrary until manifest,per_Tp_tw_curve,Aging/analysis/aging_timescale_extraction.m,aging_observable_dataset.csv,input to buildTauTable,EXPLICIT,MEDIUM,"Grouped by Tp from consolidated table"
FM_abs_vs_tw_curve,tau_input,FM_abs,EXPLICIT,CURVEFIT_FM_FAMILY,FM_abs vs tw collapse,parallel zoo to dip script,tw seconds,seconds output grain,per_Tp_tw_curve,Aging/analysis/aging_fm_timescale_analysis.m,aging_observable_dataset.csv,buildFmTauTable,EXPLICIT,MEDIUM,"Requires FM_abs finite rows"
tau_dip_per_Tp,tau_output,abstract dip tau row,CURVEFIT_DIP_FAMILY,multi-method per Tp table row,consensus and fragile flags,logistic stretched half_range,tw implicit in fit,seconds,per_Tp,Aging/analysis/aging_timescale_extraction.m,tau_vs_Tp.csv,clock ratio input aging_clock_ratio_analysis,PARTIAL,HIGH,"Which column is primary left to reader plus metadata"
tau_FM_per_Tp,tau_output,abstract FM tau row,CURVEFIT_FM_FAMILY,multi-method FM tau,FM collapse diagnostics in script,tw,seconds,per_Tp,Aging/analysis/aging_fm_timescale_analysis.m,tau_FM_vs_Tp.csv,clock ratio input,PARTIAL,HIGH,"F7R2 lineage columns"
tau_vs_Tp_file,tau_output,file aggregate,EXPLICIT,same as tau_dip_per_Tp,multiple columns per row,N/A,N/A,seconds,per_Tp,Aging/analysis/aging_timescale_extraction.m,tau_vs_Tp.csv,FM script dipTauPath arg,EXPLICIT,LOW,"Basename fixed"
tau_FM_vs_Tp_file,tau_output,file aggregate,EXPLICIT,same as tau_FM_per_Tp,N/A,N/A,N/A,seconds,per_Tp,Aging/analysis/aging_fm_timescale_analysis.m,tau_FM_vs_Tp.csv,clock ratio fm source,EXPLICIT,LOW,""
tau_effective_seconds,tau_output,legacy alias column,PARTIAL,consensus picker among methods,consensus_method_count in buildTauTable,multi,N/A,seconds,per_Tp,same writers,tau_vs_Tp.csv or tau_FM_vs_Tp.csv,plots and legacy readers,AMBIGUOUS,HIGH,"F7G semantic_status disambiguates DIP vs FM domain"
R_age,ratio_output,tau_FM and tau_dip tables,EXPLICIT,RATIO_COMBINATOR,tau_FM over tau_dip,merge on Tp with bridge optional,N/A,dimensionless or stated in table,per_Tp,Aging/analysis/aging_clock_ratio_analysis.m,table_clock_ratio.csv,science plots gated,EXPLICIT,MEDIUM,"Not raw observable"
tau_dip_seconds_column,clock_field,loaded dip tau table,EXPLICIT,PRIOR_FILE,loadTauTable maps run id,N/A,N/A,seconds,per_Tp,Aging/analysis/aging_clock_ratio_analysis.m,tau_vs_Tp.csv,buildClockRatioTable,EXPLICIT,LOW,"Column name param in loadTauTable call"
tau_FM_seconds_column,clock_field,loaded FM tau table,EXPLICIT,PRIOR_FILE,same,N/A,N/A,seconds,per_Tp,Aging/analysis/aging_clock_ratio_analysis.m,tau_FM_vs_Tp.csv,same,EXPLICIT,LOW,""
AFM_like_tau_input_hypothetical,tau_input,AFM_like,MISSING,NO_STANDARD_READER,summary not tw-export grain,N/A,N/A,N/A,per_Tp_summary_only,N/A,N/A,blocked until adapter,MISSING,BLOCKING,"F7V tau_readiness NO_TRACK_A_READER"
FM_like_tau_input_hypothetical,tau_input,FM_like,MISSING,same,N/A,N/A,N/A,N/A,per_Tp_summary_only,N/A,N/A,blocked,MISSING,BLOCKING,""
