blocker_id,category,severity,module_component,description,impact_on_canonicalization,recommended_contract_fix
B01,hardcoded_paths,critical,MT_main,baseFolder and data dir are absolute L: drive strings,non-portable and non-reproducible entrypoint,move to config fields input_root and code_root with preflight path validation
B02,script_embedded_parameters,high,MT_main,analysis and plotting parameters are inline constants/no config snapshot,no run-to-run provenance for threshold changes,require structured config (JSON/MATLAB struct) persisted into run artifacts
B03,silent_import_failures,critical,importFiles_MT,try/catch prints and continues on per-file import errors,partial datasets proceed without hard failure or status summary,accumulate per-file failure table and fail run when required files fail
B04,metadata_from_filename_only,high,getFileList_MT,field and mass extracted only from filename regex,metadata provenance fragile and format-dependent,prefer header metadata first with filename as explicit fallback + provenance column
B05,single_file_system_detection,medium,detect_MT_file_type,system type inferred from first file only,mixed-format folders can mis-route import parser,detect per-file or validate homogeneity across all files
B06,missing_output_contract,critical,MT_main,no CSV/report/status/run_manifest outputs are written,violates repository run-system requirements,define canonical tables/reports/status schema and enforce writes on success/failure
B07,plotting_only_outputs,high,MT pipeline overall,pipeline generates figures only with no machine-readable observables,cannot support artifact-first review or downstream analysis,add canonical intermediate/final CSV tables and observables index
B08,audit_gap_cleaning,high,clean_MT_data,cleaning decisions (removed points/gap interpolation) not exported,no auditability of data edits per field/segment,emit cleaning audit table per file with counts/indices summaries
B09,audit_gap_segmentation,high,segment detectors,temperature segment boundaries not exported as table,cannot verify ZFC/FCW segmentation decisions systematically,emit segment table with file_id segment_id start_idx end_idx temp/time bounds
B10,missing_dependency,critical,MT_main,call to plot_MT_2D_maps has no implementation in repository,branch can fail at runtime depending on flags,remove dead call or provide canonical implementation with tests
B11,undefined_failure_semantics,critical,MT entrypoint,no strict fail-fast rules or execution_status artifact,run validity impossible to classify under run_system contract,implement catch-write-status-rethrow semantics in wrapper script
B12,external_implicit_dependencies,medium,MT_main and Plots_MT_combined,reliance on General ver2 utilities via addpath(genpath(baseFolder)),dependency boundary unclear and brittle,declare explicit dependency list and controlled path bootstrap
B13,no_manifest_or_fingerprint,critical,MT module,no run_manifest/script hash/git capture,trust model and reproducibility guarantees absent,require createRunContext-based run identity and manifest validation
