claim,test/analysis name,metric used,quantitative result,verdict,strength,limitation
"Phi1 is the dominant residual mode in S(I,T) after PT backbone subtraction","closure_report (perturbative closure)","Mean holdout RMSE PT-only vs PT+kappa1*Phi1","0.04692 -> 0.0089249 (relative improvement 80.98%)","SUPPORTED","HIGH","Uses canonical low-T strip protocol; reflects this decomposition pipeline"
"Phi1 explains most predictive gain in full LOOCV hierarchy","full_prediction_with_trajectory","Aggregate LOOCV RMSE PT-only vs rank-1","0.053518 -> 0.011018 (79.4% improvement)","SUPPORTED","HIGH","n=12 PT-valid rows in this cohort"
"Rank-1 structure is universal across the canonical T window, with known boundary weakening","deformation_closure_metrics / deformation_closure_report","Per-T corr(deltaS, kappa1*Phi1)","corr_A mostly 0.99 at 4-20 K; drops to 0.7469 at 22 K; 0.7997 at 30 K","SUPPORTED","MEDIUM","Universality is strong but not uniform; boundary rows are weaker"
"Dominant rank structure is strongly 1D","rank2_metrics / rank2_report","SVD variance explained by mode-1","variance_mode1 = 0.959794; sigma1/sigma2 = 6.263467","SUPPORTED","HIGH","Reported on no_22K decision subset"
"Rank-2 is real but subleading relative to Phi1","closure_metrics + rank2_metrics","Rank-1 to rank-2 gain","RMSE 0.0089249 -> 0.0056813 in closure; relFro 0.200514 -> 0.125461","SUPPORTED","HIGH","Confirms subleading structure, not Phi1 insufficiency"
"Pure local shift is not the Phi1 mechanism","local_shift_report","Tangent/local-shift fit vs rank-2 reference","median corr(deltaS,tangent)=-0.4760 vs rank-2 corr=0.9844; verdict RESIDUAL_IS_LOCAL_SHIFT=NO","SUPPORTED","HIGH","Test targets shift hypothesis directly; not a complete kernel taxonomy"
"Pure nonlinear response of Scdf is not sufficient","nonlinear_response_report","Mean RMSE nonlinear Scdf model vs rank-1/2","nonlinear=0.031210 vs rank-1=0.008913 and rank-2=0.005668","SUPPORTED","HIGH","Model family limited to Scdf and Scdf^2 terms"
"Phi1 is not reducible to PT-only or simple geometric kernels","closure_report + local_shift_report + nonlinear_response_report","Comparative model RMSE/correlation","All simple kernel families tested underperform rank-1 Phi1 residual model","SUPPORTED","MEDIUM","Evidence is from tested kernel families, not exhaustive over all possible kernels"
"Phi1 amplitude (kappa1) is stable and observable-linked across T","kappa1_from_PT_report / kappa1_from_PT_aligned_report","LOOCV and stability excluding 22-24 K","best LOOCV 0.0184739 (width+S_peak); excluding 22-24 K LOOCV 0.0146342; alignment delta ~3.16e-16","SUPPORTED","HIGH","This is amplitude stability; does not directly prove full shape invariance"
"Phi1 corresponds to broad symmetric ridge correction in map language","experimental_observable_replacement_report + paper_safe_observable_dictionary + latent_to_observable_replacement_table","Cross-artifact semantic consistency","Independent artifacts converge on 'dominant broad symmetric ridge correction vs PT backbone'","SUPPORTED","MEDIUM","Symmetry claim for Phi1 is mostly qualitative; no dedicated stored phi1 even/odd scalar table found"
"PT deformation coordinates can capture part of residual structure but do not replace Phi1-centered rank description","deformation_closure_report + deformation_basis_projection","Model RMSE and basis projection","deform3 mean RMSE 0.00656 (better than rank-1) but worse than rank-2 0.00567; phi2 span(K1,K2) cosine=0.414","PARTIAL","MEDIUM","Metrics are for Phi2/deformation closure; indirect for Phi1 interpretation"
"Collapse/boundary failure structure is concentrated near 22-24 K and does not invalidate Phi1 dominance","deformation_closure_report + alpha_decomposition_report + alpha_res_transition_report","Boundary anomalies in correlations and residual concentration","rank-1 corr dip at 22 K (0.7469); alpha_res RMS band 0.6717 vs outside 0.3856","SUPPORTED","MEDIUM","Boundary evidence partly from alpha channel; not a dedicated standalone Phi1-collapse scalar"
