forbidden_or_ambiguous_term,ambiguity_reason,allowed_only_if_qualified_by,safe_replacement,severity,examples,notes
canonical backbone,Could mean PT/CDF rowwise quasi-CDF EXPERIMENTAL OLD_RESIDUAL Speak cdfRow or CORRECTED PT-only backbone,namespace_id plus backbone_object formula plus S minus WHAT,Speak_star_cdf_PT_density_CORRECTED_old vs rowwise_quasiCDF_EXPERIMENTAL vs Speak_times_cdfRow_OLD_RESIDUAL,HIGH,"canonical backbone for switching figures","Template switching_analysis_namespace_header forbids bare phrase."
canonical Phi,Could be switching_canonical_phi1.csv CANON_GEN diag vs corrected_old_authoritative_phi1 vs OLD_RESIDUAL phi_shape,switching_canonical_phi1.csv vs switching_corrected_old_authoritative_phi1.csv column registry REG002 REG003,EXPERIMENTAL_DIAGNOSTIC_phi1_from_mixed_producer vs AUTHORITATIVE_CORRECTED_OLD_phi1,HIGH,"compare canonical Phi to corrected Phi","Always pair file path + registry row."
canonical kappa,Observable column vs corrected-old kappa1 vs mode amplitude tables,Same dual path as Phi with observables.csv roles,kappa1_observable_diagnostic vs kappa1_corrected_old_authoritative,HIGH,"kappa from canonical run","Three-way collision surface per governance csv."
canonical residual,Could be residual_percent diagnostic vs DeltaS legacy vs corrected residual maps,residual definition column S minus backbone identity,residual_percent_DIAGNOSTIC vs DeltaS_OLD_RESIDUAL vs DeltaS_CORRECTED_authoritative,HIGH,"plot the canonical residual","Require formula string in caption."
old analysis,Undifferentiated legacy vs replay vs corrected narrative,governance family LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS,LEGACY_OLD_TEMPLATE_port vs CORRECTED_CANONICAL_OLD_ANALYSIS_manuscript_path,MEDIUM,"old analysis replay","Phase 1 broad replay NO-GO without contract."
corrected-old,Prose shorthand vs authoritative CSV package vs quarantine scripts,corrected_old_authoritative index row vs DIAGNOSTIC script,CORRECTED_CANONICAL_OLD_ANALYSIS_with_index_row vs quarantine_PTcdf_inventory,MEDIUM,"corrected-old backbone figure","Machine fields need CORRECTED_CANONICAL_OLD_ANALYSIS id + artifact index."
final canonical,Suggests terminal authority across incompatible namespaces,governance stamp plus family,frozen_claim_under_namespace_B09_with_index,HIGH,"final canonical map","Avoid; use frozen registered artifact row language."
paper figures,Suggests submission-ready without evidence tier,gating tier manuscript_safe NO flags,staged_figure_candidate_vs_manuscript_locked,HIGH,"run_switching_canonical_paper_figures.ps1","Alias orchestration tier not submission claim."
X_canon,Forbidden alias per artifact policy gauge notation,X_eff plus gauge id,X_eff_gauge_G014_or_declared_gauge,HIGH,"X_canon axis label","Use X_eff or declared gauge per R06."
collapse_canon,Forbidden alias policy,collapse_diagnostic_overlay_OR_scaled_collapse_CORRECTED_context,primary_collapse_scaled_by_T_diagnostic_only,HIGH,"collapse_canon plot","Artifact policy forbidden stems list."
Phi_canon,Forbidden merged stem vs DIAGNOSTIC Phi paths,switching_analysis_map PHI modes plus registry REG003,Phi_mode_under_EXPERIMENTAL_or_CORRECTED_file_path,HIGH,"Phi_canon shape","Forbidden alias stem per artifact policy; same collision class as kappa_canon."
kappa_canon,same as Phi_canon collision surface,kappa_mode_under_declared_namespace plus file path,kappa1_observable_diagnostic_vs_corrected_authoritative,HIGH,"kappa_canon curve","Forbidden stem per artifact policy; use explicit mode table."
geocanon as residual canon,Geometric ridge descriptors mistaken for CDF residual backbone,B12 descriptor audit vs OLD_RESIDUAL_DECOMP,GEOCANON_DESCRIPTOR_vs_residual_mode_family,HIGH,"geocanon backbone","Policy separates canonical_geometric_decomposition from residual family."
PTCDF as corrected-old authority,Experimental columns promoted to manuscript backbone CORRECTED,EXPERIMENTAL_PTCDF_DIAGNOSTIC tag always on PT_pdf CDF_pt S_model_pt_percent,S_model_pt_percent_DIAGNOSTIC_only_never_CORRECTED_backbone,HIGH,"use PTCDF backbone for corrected-old","Supersession report unsafe list unchanged."
bare canonical / canonical without qualifier,Grep hits wrong column family,column_class namespace_id per cell or path,switching_canonical_S_long_column_namespace-driven_language,HIGH,"run canonical script","CANON_GEN_MIXED_PRODUCER requires output-split discipline."
CANON_GEN umbrella without split,Treats mixed file as single semantics,CANON_GEN_SOURCE vs EXPERIMENTAL per column,Measured_S_column_vs_PT_diagnostic_columns,MEDIUM,"CANON_GEN outputs","Governance row Phase 1.5B term audit."
